Country Name,Lat,Lon
Algeria,28.033886,1.659626
Egypt,26.820553,30.802498
Libya,26.3351,17.228331
Morocco,31.791702,-7.092619999999999
Sudan,12.862807,30.217636
Tunisia,33.886917,9.537499
Western Sahara,24.215527,-12.885834
British Indian Ocean Territory,-6.343194,71.876519
Burundi,-3.373056,29.918886
Comoros,-11.6455,43.3333
Djibouti,11.825138,42.590275
Eritrea,15.179384,39.782334
Ethiopia,9.145000000000001,40.489673
French Southern Territories,-49.280366,69.3485571
Kenya,-0.023559,37.906193
Madagascar,-18.766947,46.869107
Malawi,-13.254308,34.301525
Mauritius,-20.348404,57.55215200000001
Mayotte,-12.8275,45.166244
Mozambique,-18.665695,35.529562
Réunion,-21.115141,55.536384
Rwanda,-1.940278,29.873888
Seychelles,-4.679574,55.491977
Somalia,5.152149,46.199616
South Sudan,6.876991899999999,31.3069788
Uganda,1.373333,32.290275
United Republic of Tanzania,-6.369028,34.888822
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
Angola,-11.202692,17.873887
Cameroon,7.369721999999999,12.354722
Central African Republic,6.611110999999999,20.939444
Chad,15.454166,18.732207
Congo,-4.038333,21.758664
Democratic Republic of the Congo,-4.038333,21.758664
Equatorial Guinea,1.650801,10.267895
Gabon,-0.803689,11.609444
Sao Tome and Principe,0.18636,6.613080999999999
Botswana,-22.328474,24.684866
Eswatini,-26.522503,31.465866
Lesotho,-29.609988,28.233608
Namibia,-22.95764,18.49041
South Africa,-30.559482,22.937506
Benin,9.30769,2.315834
Burkina Faso,12.238333,-1.561593
Cabo Verde,16.5388,-23.0418
Côte d’Ivoire,7.539988999999999,-5.547079999999999
Gambia,13.443182,-15.310139
Ghana,7.946527,-1.023194
Guinea,9.945587,-9.696645
Guinea-Bissau,11.803749,-15.180413
Liberia,6.428055,-9.429499000000002
Mali,17.570692,-3.996166
Mauritania,21.00789,-10.940835
Niger,17.607789,8.081666
Nigeria,9.081999,8.675277
Saint Helena,-15.9650104,-5.7089241
Senegal,14.497401,-14.452362
Sierra Leone,8.460555,-11.779889
Togo,8.619543,0.824782
Anguilla,18.220554,-63.06861499999999
Antigua and Barbuda,17.060816,-61.796428
Aruba,12.52111,-69.968338
Bahamas,25.03428,-77.39627999999999
Barbados,13.193887,-59.543198
Bonarie; Sint Eustatius and Saba,12.1783611,-68.2385339
British Virgin Islands,18.420695,-64.639968
Cayman Islands,19.3133,-81.2546
Cuba,21.521757,-77.781167
Curaçao,12.16957,-68.99002
Dominica,15.414999,-61.37097600000001
Dominican Republic,18.735693,-70.162651
Grenada,12.1165,-61.67899999999999
Guadeloupe,16.265,-61.55099999999999
Haiti,18.971187,-72.285215
Jamaica,18.109581,-77.297508
Martinique,14.641528,-61.024174
Montserrat,16.742498,-62.187366
Puerto Rico,18.220833,-66.590149
Saint Barthélemy,17.9,-62.833333
Saint Kitts and Nevis,17.357822,-62.782998
Saint Lucia,13.909444,-60.978893
Saint Martin (French Part),18.08255,-63.05225100000001
Saint Vincent and the Grenadines,12.984305,-61.287228
Sint Maarten (Dutch part),18.04248,-63.05483
Trinidad and Tobago,10.691803,-61.222503
Turks and Caicos Islands,21.694025,-71.797928
